Attrition,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,JobSatisfaction,JobLevel,BusinessTravel,Gender,RevenueLoss
No,Sales,Sales Executive,No,8020,11,2,3,Travel_Rarely,Male,674465.6326530612
No,Research & Development,Laboratory Technician,No,3688,1,4,1,Travel_Frequently,Male,310153.2734693878
No,Research & Development,Manufacturing Director,No,5482,4,2,2,Travel_Rarely,Male,461025.01224489795
No,Sales,Manager,No,16015,22,2,4,Travel_Rarely,Male,1346828.8163265307
No,Sales,Sales Representative,No,1200,0,3,1,Travel_Rarely,Female,100917.55102040817
No,Research & Development,Healthcare Representative,No,5661,8,1,2,Travel_Rarely,Male,476078.5469387755
No,Sales,Sales Executive,No,6929,8,4,2,Travel_Rarely,Male,582714.7591836734
No,Research & Development,Healthcare Representative,No,9613,18,4,3,Travel_Rarely,Male,808433.6816326531
No,Research & Development,Laboratory Technician,No,5674,9,2,2,Non-Travel,Female,477171.82040816324
No,Sales,Sales Executive,No,5484,13,3,2,Travel_Rarely,Male,461193.2081632653
No,Research & Development,Research Director,No,12061,10,2,3,Travel_Rarely,Female,1014305.4857142858
No,Research & Development,Healthcare Representative,Yes,5660,5,3,2,Non-Travel,Male,475994.44897959183
No,Research & Development,Research Scientist,Yes,4821,5,4,1,Travel_Rarely,Male,405436.2612244898
No,Human Resources,Human Resources,No,6410,2,1,2,Travel_Rarely,Male,539067.918367347
No,Research & Development,Laboratory Technician,No,5210,24,1,3,Travel_Frequently,Male,438150.36734693876
No,Research & Development,Research Scientist,Yes,2695,2,4,1,Travel_Rarely,Male,226644.0
No,Research & Development,Manager,No,11878,10,2,3,Travel_Frequently,Female,998915.5591836735
No,Research & Development,Manager,Yes,17068,21,1,4,Travel_Rarely,Male,1435383.9673469388
No,Research & Development,Laboratory Technician,No,2455,8,4,1,Travel_Frequently,Female,206460.48979591837
No,Research & Development,Healthcare Representative,Yes,13964,7,3,4,Travel_Rarely,Female,1174343.9020408164
Yes,Research & Development,Research Scientist,No,4941,8,2,2,Travel_Rarely,Male,415528.0163265306
No,Research & Development,Research Scientist,Yes,2478,4,2,1,Travel_Rarely,Female,208394.74285714285
No,Sales,Sales Executive,Yes,5228,13,2,2,Travel_Rarely,Female,439664.1306122449
No,Sales,Sales Executive,Yes,4478,5,3,2,Travel_Rarely,Male,376590.6612244898
No,Sales,Sales Executive,No,7547,7,4,2,Travel_Rarely,Male,634687.2979591837
No,Research & Development,Research Scientist,No,5055,7,4,2,Travel_Rarely,Female,425115.1836734694
Yes,Research & Development,Research Scientist,Yes,3464,3,4,1,Travel_Rarely,Male,291315.3306122449
No,Research & Development,Research Scientist,No,5775,10,4,2,Travel_Rarely,Female,485665.7142857143
No,Research & Development,Manufacturing Director,No,8943,10,3,3,Travel_Frequently,Female,752088.0489795918
No,Research & Development,Manager,No,19272,21,4,5,Travel_Frequently,Male,1620735.8693877552
Yes,Sales,Sales Executive,Yes,5238,1,3,2,Travel_Rarely,Female,440505.11020408163
No,Sales,Sales Executive,No,4682,7,4,2,Travel_Frequently,Male,393746.6448979592
No,Research & Development,Research Director,No,18300,3,3,5,Travel_Rarely,Male,1538992.6530612246
No,Research & Development,Laboratory Technician,No,5257,9,3,2,Travel_Frequently,Female,442102.97142857144
No,Sales,Sales Executive,Yes,6349,5,2,2,Non-Travel,Male,533937.9428571429
No,Research & Development,Research Scientist,No,4869,4,3,2,Travel_Frequently,Female,409472.96326530614
No,Research & Development,Healthcare Representative,No,9985,1,1,3,Travel_Rarely,Female,839718.1224489796
No,Research & Development,Research Scientist,No,3697,10,4,2,Travel_Rarely,Male,310910.1551020408
No,Sales,Sales Executive,Yes,7457,4,4,2,Travel_Rarely,Male,627118.481632653
Yes,Research & Development,Laboratory Technician,Yes,2119,7,1,1,Travel_Rarely,Male,178203.57551020407
No,Research & Development,Laboratory Technician,No,3983,3,4,1,Travel_Rarely,Male,334962.17142857146
No,Sales,Sales Executive,No,6118,10,3,2,Travel_Rarely,Female,514511.3142857143
No,Sales,Sales Executive,No,6214,8,2,2,Travel_Rarely,Female,522584.71836734697
No,Research & Development,Manufacturing Director,No,6347,6,4,2,Travel_Rarely,Male,533769.7469387755
No,Research & Development,Research Director,Yes,11510,11,4,3,Travel_Rarely,Male,967967.5102040817
No,Research & Development,Manufacturing Director,Yes,7143,11,4,3,Travel_Rarely,Female,600711.7224489796
No,Sales,Sales Executive,Yes,8268,7,2,2,Travel_Rarely,Female,695321.9265306123
No,Research & Development,Manufacturing Director,No,8095,16,2,3,Travel_Rarely,Male,680772.9795918367
No,Research & Development,Research Scientist,No,2904,4,4,1,Travel_Rarely,Male,244220.47346938777
No,Research & Development,Manufacturing Director,Yes,6032,5,2,2,Travel_Rarely,Male,507278.88979591837
No,Sales,Sales Representative,No,2976,0,3,2,Travel_Frequently,Male,250275.52653061226
No,Research & Development,Research Director,No,15992,1,4,4,Travel_Rarely,Female,1344894.5632653062
No,Sales,Sales Executive,No,4649,4,3,2,Non-Travel,Male,390971.412244898
No,Human Resources,Human Resources,Yes,2696,3,3,1,Travel_Rarely,Male,226728.09795918368
No,Research & Development,Laboratory Technician,No,2370,8,2,1,Travel_Rarely,Female,199312.16326530612
No,Sales,Manager,No,12504,0,3,3,Travel_Rarely,Female,1051560.881632653
No,Research & Development,Research Scientist,Yes,5974,7,1,2,Travel_Rarely,Male,502401.2081632653
No,Sales,Sales Executive,Yes,4736,2,3,2,Non-Travel,Female,398287.9346938776
No,Sales,Sales Executive,No,5296,8,3,2,Travel_Rarely,Male,445382.7918367347
No,Research & Development,Healthcare Representative,No,6781,1,4,2,Travel_Rarely,Male,570268.2612244898
Yes,Sales,Sales Representative,Yes,2174,3,2,1,Travel_Frequently,Female,182828.9632653061
No,Sales,Sales Executive,No,6653,1,4,2,Non-Travel,Female,559503.7224489796
No,Sales,Sales Executive,No,9699,13,4,3,Travel_Frequently,Male,815666.106122449
No,Research & Development,Healthcare Representative,No,6755,3,3,2,Travel_Rarely,Male,568081.7142857143
No,Research & Development,Laboratory Technician,Yes,2213,7,3,1,Travel_Rarely,Female,186108.78367346938
No,Sales,Sales Representative,No,2610,3,4,1,Non-Travel,Male,219495.67346938775
Yes,Sales,Sales Representative,Yes,2851,1,3,1,Travel_Rarely,Female,239763.28163265306
No,Research & Development,Laboratory Technician,No,3452,5,1,1,Travel_Rarely,Female,290306.1551020408
No,Research & Development,Manufacturing Director,No,5258,1,3,2,Non-Travel,Female,442187.0693877551
Yes,Sales,Sales Executive,No,9355,8,2,2,Travel_Frequently,Male,786736.4081632653
No,Research & Development,Healthcare Representative,No,10496,4,4,3,Travel_Rarely,Male,882692.1795918368
Yes,Sales,Sales Executive,Yes,6380,6,3,2,Travel_Rarely,Male,536544.9795918367
No,Research & Development,Research Scientist,Yes,2657,2,2,1,Travel_Rarely,Male,223448.2775510204
Yes,Sales,Sales Representative,No,2716,1,2,1,Travel_Rarely,Female,228410.05714285714
No,Research & Development,Research Scientist,No,2201,3,4,1,Travel_Rarely,Male,185099.6081632653
No,Research & Development,Healthcare Representative,No,6540,1,2,2,Travel_Rarely,Male,550000.6530612245
No,Research & Development,Laboratory Technician,No,3816,5,2,1,Travel_Rarely,Male,320917.81224489794
No,Sales,Sales Executive,No,5253,7,4,2,Travel_Rarely,Male,441766.5795918367
No,Research & Development,Healthcare Representative,No,10965,5,3,3,Travel_Rarely,Male,922134.1224489796
No,Sales,Sales Executive,No,4936,7,4,2,Travel_Rarely,Female,415107.52653061226
No,Research & Development,Research Scientist,No,2543,2,3,1,Travel_Rarely,Female,213861.11020408163
Yes,Sales,Sales Executive,Yes,5304,5,4,2,Non-Travel,Male,446055.5755102041
No,Research & Development,Manager,Yes,16659,5,4,4,Travel_Rarely,Female,1400987.9020408164
No,Sales,Sales Executive,Yes,4260,5,3,2,Travel_Rarely,Female,358257.306122449
No,Sales,Sales Representative,No,2476,1,2,1,Travel_Rarely,Male,208226.54693877551
Yes,Research & Development,Research Scientist,No,3102,6,1,1,Travel_Frequently,Male,260871.8693877551
No,Research & Development,Research Scientist,No,2244,2,2,1,Travel_Rarely,Female,188715.82040816327
No,Sales,Sales Executive,No,7596,10,3,3,Travel_Rarely,Male,638808.0979591837
Yes,Research & Development,Research Scientist,Yes,2285,1,4,1,Travel_Frequently,Male,192163.83673469388
No,Research & Development,Laboratory Technician,No,3034,18,1,1,Travel_Rarely,Female,255153.2081632653
No,Sales,Sales Executive,No,5715,5,2,2,Travel_Rarely,Female,480619.8367346939
No,Research & Development,Laboratory Technician,No,2576,5,1,1,Travel_Rarely,Female,216636.34285714285
No,Research & Development,Manufacturing Director,Yes,4197,1,2,2,Travel_Rarely,Male,352959.13469387754
No,Research & Development,Research Director,No,14336,25,2,4,Travel_Rarely,Male,1205628.342857143
No,Research & Development,Laboratory Technician,No,3448,1,3,2,Travel_Rarely,Female,289969.76326530613
No,Research & Development,Research Director,No,19406,4,1,5,Travel_Rarely,Male,1632004.9959183673
No,Sales,Sales Executive,No,6538,3,3,2,Non-Travel,Female,549832.4571428571
No,Research & Development,Manufacturing Director,No,4306,13,1,2,Travel_Rarely,Female,362125.81224489794
No,Research & Development,Laboratory Technician,No,2258,3,4,1,Travel_Frequently,Male,189893.1918367347
No,Research & Development,Healthcare Representative,Yes,4522,5,3,2,Travel_Rarely,Female,380290.97142857144
No,Sales,Sales Executive,Yes,4487,5,4,2,Travel_Rarely,Female,377347.54285714286
No,Research & Development,Research Scientist,Yes,4449,13,3,2,Non-Travel,Female,374151.82040816324
No,Research & Development,Laboratory Technician,No,2218,4,1,1,Travel_Rarely,Male,186529.27346938776
No,Research & Development,Manager,Yes,19197,21,3,5,Travel_Frequently,Male,1614428.5224489796
No,Sales,Sales Executive,No,13212,7,1,4,Travel_Frequently,Female,1111102.2367346939
No,Sales,Sales Executive,No,6577,5,3,2,Travel_Rarely,Female,553112.2775510204
No,Sales,Sales Executive,No,8392,10,1,3,Travel_Rarely,Male,705750.0734693877
No,Research & Development,Laboratory Technician,No,4558,10,1,2,Travel_Rarely,Male,383318.4979591837
Yes,Research & Development,Laboratory Technician,No,4031,2,1,1,Travel_Rarely,Male,338998.87346938776
No,Research & Development,Manufacturing Director,Yes,7969,5,3,3,Travel_Rarely,Male,670176.6367346939
No,Research & Development,Research Scientist,No,2654,2,4,1,Travel_Rarely,Male,223195.9836734694
No,Research & Development,Manager,No,16555,5,4,4,Travel_Rarely,Female,1392241.7142857143
No,Research & Development,Research Scientist,No,4556,5,3,2,Travel_Frequently,Female,383150.30204081634
No,Research & Development,Manufacturing Director,No,6091,5,4,2,Travel_Rarely,Female,512240.6693877551
No,Research & Development,Manager,No,19566,29,1,5,Travel_Rarely,Female,1645460.6693877552
No,Research & Development,Manufacturing Director,No,4810,10,3,2,Travel_Rarely,Female,404511.1836734694
No,Research & Development,Healthcare Representative,No,4523,6,4,2,Travel_Frequently,Female,380375.0693877551
Yes,Sales,Sales Representative,Yes,3202,5,2,1,Travel_Rarely,Female,269281.66530612245
Yes,Sales,Sales Representative,No,2351,2,3,1,Travel_Frequently,Female,197714.30204081634
No,Research & Development,Laboratory Technician,Yes,1702,1,4,1,Travel_Frequently,Male,143134.72653061224
No,Sales,Manager,No,18041,20,3,5,Travel_Rarely,Female,1517211.281632653
No,Research & Development,Research Scientist,No,2886,3,4,1,Travel_Rarely,Female,242706.71020408164
No,Research & Development,Laboratory Technician,No,2097,5,4,1,Non-Travel,Male,176353.42040816328
No,Research & Development,Research Director,No,11935,10,3,3,Travel_Rarely,Male,1003709.1428571428
Yes,Research & Development,Research Scientist,No,2546,2,2,1,Travel_Rarely,Female,214113.40408163265
Yes,Human Resources,Human Resources,No,2564,1,4,1,Travel_Rarely,Male,215627.16734693878
No,Sales,Sales Executive,No,8412,9,1,3,Non-Travel,Female,707432.0326530612
No,Sales,Manager,No,14118,1,4,4,Travel_Rarely,Male,1187294.987755102
No,Research & Development,Manager,No,17046,27,3,4,Travel_Rarely,Male,1433533.812244898
No,Research & Development,Laboratory Technician,No,2564,11,4,1,Non-Travel,Female,215627.16734693878
No,Sales,Sales Executive,No,10266,18,1,3,Travel_Frequently,Female,863349.6489795919
No,Research & Development,Manufacturing Director,No,5070,5,4,2,Travel_Rarely,Female,426376.6530612245
No,Research & Development,Research Director,No,17861,3,3,4,Travel_Rarely,Male,1502073.648979592
No,Research & Development,Laboratory Technician,No,4230,5,3,1,Travel_Rarely,Male,355734.36734693876
No,Research & Development,Laboratory Technician,No,3780,1,3,2,Travel_Rarely,Female,317890.28571428574
No,Research & Development,Research Scientist,No,2768,7,3,1,Travel_Rarely,Male,232783.15102040817
No,Sales,Sales Executive,Yes,9071,3,4,3,Travel_Rarely,Female,762852.5877551021
No,Research & Development,Manufacturing Director,No,10648,13,2,3,Travel_Rarely,Male,895475.0693877551
Yes,Research & Development,Manager,Yes,13610,7,3,3,Travel_Rarely,Male,1144573.224489796
Yes,Research & Development,Laboratory Technician,No,3408,4,4,1,Travel_Rarely,Male,286605.8448979592
No,Sales,Sales Representative,No,2983,3,2,1,Travel_Rarely,Male,250864.21224489796
No,Research & Development,Healthcare Representative,Yes,7632,8,3,3,Travel_Rarely,Male,641835.6244897959
Yes,Research & Development,Healthcare Representative,No,9824,1,3,3,Travel_Frequently,Male,826178.3510204082
Yes,Human Resources,Human Resources,Yes,9950,3,1,3,Travel_Frequently,Female,836774.693877551
No,Research & Development,Laboratory Technician,No,2093,2,3,1,Travel_Frequently,Male,176017.0285714286
No,Sales,Sales Executive,No,9980,10,4,3,Non-Travel,Male,839297.6326530612
Yes,Research & Development,Laboratory Technician,No,3894,2,3,1,Travel_Frequently,Male,327477.4530612245
No,Sales,Sales Executive,No,4051,9,4,2,Travel_Rarely,Female,340680.83265306125
No,Sales,Manager,No,16835,10,2,4,Travel_Rarely,Female,1415789.142857143
No,Sales,Sales Executive,No,6230,14,4,2,Non-Travel,Male,523930.28571428574
No,Sales,Sales Executive,No,4717,11,3,2,Travel_Rarely,Male,396690.0734693878
No,Research & Development,Manufacturing Director,No,13237,20,3,4,Travel_Rarely,Female,1113204.6857142858
No,Research & Development,Laboratory Technician,No,3755,8,3,1,Travel_Frequently,Female,315787.8367346939
No,Sales,Sales Executive,Yes,6582,6,4,2,Travel_Rarely,Male,553532.7673469388
No,Research & Development,Manufacturing Director,Yes,7406,10,1,3,Travel_Rarely,Male,622829.4857142858
No,Sales,Sales Executive,No,4805,8,2,2,Travel_Rarely,Male,404090.693877551
Yes,Human Resources,Human Resources,Yes,2741,7,3,1,Travel_Frequently,Female,230512.50612244898
No,Research & Development,Manufacturing Director,No,4262,3,4,2,Travel_Rarely,Male,358425.50204081635
No,Research & Development,Research Director,No,16184,6,3,4,Travel_Rarely,Female,1361041.3714285714
No,Sales,Manager,No,11557,5,4,3,Travel_Rarely,Male,971920.1142857143
Yes,Sales,Sales Representative,Yes,1878,0,2,1,Travel_Frequently,Male,157935.96734693876
No,Sales,Sales Executive,No,10932,1,1,3,Non-Travel,Male,919358.8897959184
No,Research & Development,Healthcare Representative,Yes,6811,8,3,2,Non-Travel,Female,572791.2
No,Sales,Sales Executive,No,4306,0,3,2,Travel_Rarely,Male,362125.81224489794
No,Sales,Sales Executive,No,4859,5,3,2,Travel_Rarely,Female,408631.9836734694
No,Sales,Sales Executive,No,5337,10,4,2,Travel_Rarely,Male,448830.8081632653
Yes,Research & Development,Laboratory Technician,Yes,2340,1,4,1,Travel_Rarely,Male,196789.22448979592
No,Research & Development,Manufacturing Director,No,7491,6,4,3,Travel_Rarely,Female,629977.8122448979
No,Research & Development,Healthcare Representative,No,10527,2,3,3,Travel_Frequently,Female,885299.2163265307
No,Sales,Manager,No,16595,18,1,4,Travel_Rarely,Female,1395605.6326530613
No,Sales,Sales Executive,No,8834,9,2,3,Non-Travel,Male,742921.3714285714
No,Research & Development,Research Scientist,Yes,5577,10,1,2,Travel_Rarely,Male,469014.31836734695
Yes,Sales,Sales Executive,No,4707,4,3,2,Non-Travel,Male,395849.09387755103
No,Sales,Sales Representative,No,2400,2,4,1,Travel_Frequently,Male,201835.10204081633
No,Research & Development,Healthcare Representative,No,9824,1,3,2,Travel_Rarely,Female,826178.3510204082
No,Research & Development,Manufacturing Director,No,6447,6,2,2,Travel_Rarely,Female,542179.5428571429
No,Research & Development,Research Director,Yes,19502,31,3,5,Travel_Rarely,Male,1640078.4
No,Research & Development,Research Scientist,Yes,2725,6,4,1,Travel_Rarely,Male,229166.9387755102
No,Sales,Sales Executive,No,6272,5,2,2,Travel_Rarely,Male,527462.4
No,Research & Development,Laboratory Technician,No,2127,1,2,1,Travel_Rarely,Male,178876.35918367348
No,Human Resources,Manager,No,18200,32,2,5,Travel_Frequently,Male,1530582.8571428573
No,Sales,Sales Representative,No,2096,7,3,1,Travel_Rarely,Male,176269.3224489796
Yes,Research & Development,Laboratory Technician,Yes,2886,6,3,1,Travel_Frequently,Female,242706.71020408164
Yes,Sales,Sales Representative,No,2033,1,1,1,Travel_Frequently,Male,170971.15102040817
No,Research & Development,Research Scientist,Yes,3622,6,4,1,Travel_Rarely,Male,304602.8081632653
Yes,Sales,Sales Executive,No,4233,3,1,2,Travel_Rarely,Male,355986.6612244898
No,Research & Development,Laboratory Technician,No,3681,3,4,2,Travel_Rarely,Male,309564.587755102
No,Sales,Sales Executive,No,5460,7,4,2,Travel_Rarely,Male,459174.85714285716
No,Research & Development,Research Scientist,No,2187,5,3,1,Travel_Rarely,Female,183922.23673469387
No,Sales,Sales Executive,Yes,9602,3,3,2,Travel_Rarely,Male,807508.6040816327
No,Research & Development,Research Scientist,No,2836,1,2,1,Travel_Rarely,Female,238501.81224489797
No,Research & Development,Healthcare Representative,No,4089,10,4,2,Travel_Rarely,Female,343876.5551020408
No,Research & Development,Research Director,Yes,16627,1,4,4,Travel_Rarely,Male,1398296.7673469388
No,Research & Development,Research Scientist,No,2619,0,1,1,Travel_Rarely,Female,220252.55510204082
No,Research & Development,Laboratory Technician,Yes,5679,8,3,2,Travel_Frequently,Male,477592.31020408164
No,Research & Development,Manager,No,15402,3,1,4,Travel_Rarely,Female,1295276.7673469388
No,Human Resources,Human Resources,No,5985,2,3,2,Travel_Rarely,Female,503326.28571428574
No,Sales,Sales Representative,Yes,2579,8,3,1,Travel_Rarely,Female,216888.6367346939
Yes,Sales,Sales Representative,No,3041,4,1,1,Travel_Rarely,Male,255741.89387755102
No,Sales,Sales Representative,No,3447,3,3,1,Travel_Rarely,Male,289885.66530612245
No,Research & Development,Manager,Yes,19513,2,4,5,Travel_Rarely,Male,1641003.4775510204
No,Research & Development,Research Scientist,No,2773,2,3,1,Travel_Rarely,Male,233203.64081632654
No,Sales,Sales Executive,No,7104,5,3,2,Travel_Rarely,Male,597431.9020408164
No,Research & Development,Research Scientist,Yes,6322,6,4,2,Travel_Rarely,Female,531667.2979591837
No,Research & Development,Research Scientist,No,2083,1,3,1,Travel_Frequently,Female,175176.04897959184
No,Sales,Sales Executive,No,8381,14,1,2,Travel_Rarely,Female,704824.9959183674
No,Research & Development,Research Scientist,No,2691,10,4,1,Travel_Rarely,Male,226307.6081632653
Yes,Sales,Sales Executive,No,4286,1,1,2,Travel_Frequently,Female,360443.8530612245
No,Research & Development,Laboratory Technician,Yes,2659,3,4,1,Travel_Rarely,Female,223616.47346938777
No,Research & Development,Manufacturing Director,No,9434,10,3,3,Travel_Rarely,Male,793380.1469387755
No,Sales,Sales Executive,No,5561,6,3,2,Travel_Rarely,Female,467668.7510204082
No,Research & Development,Research Scientist,No,6646,17,4,2,Travel_Rarely,Male,558915.0367346939
No,Research & Development,Healthcare Representative,No,7725,13,4,2,Travel_Frequently,Male,649656.7346938775
No,Human Resources,Human Resources,No,10725,9,2,3,Travel_Rarely,Male,901950.612244898
No,Research & Development,Manufacturing Director,Yes,8847,3,2,2,Travel_Rarely,Male,744014.6448979592
No,Research & Development,Research Scientist,No,2045,4,4,1,Travel_Rarely,Male,171980.32653061225
Yes,Research & Development,Research Scientist,Yes,1009,1,3,1,Travel_Rarely,Male,84854.84081632653
Yes,Research & Development,Research Scientist,Yes,3348,10,1,1,Travel_Frequently,Male,281559.9673469388
No,Research & Development,Laboratory Technician,No,1281,1,3,1,Non-Travel,Male,107729.48571428572
No,Research & Development,Research Scientist,No,2819,3,1,1,Travel_Rarely,Male,237072.14693877552
No,Sales,Sales Executive,No,4851,3,2,2,Travel_Rarely,Male,407959.2
No,Sales,Sales Executive,No,4028,7,4,2,Travel_Rarely,Female,338746.5795918367
No,Research & Development,Research Scientist,No,2720,10,4,1,Travel_Frequently,Male,228746.44897959183
No,Sales,Sales Executive,No,8120,2,2,2,Travel_Rarely,Male,682875.4285714286
No,Sales,Sales Executive,Yes,4647,6,4,2,Travel_Frequently,Female,390803.2163265306
No,Research & Development,Research Scientist,No,4680,1,4,1,Travel_Rarely,Male,393578.44897959183
No,Research & Development,Laboratory Technician,Yes,3221,20,3,1,Travel_Rarely,Male,270879.52653061226
No,Research & Development,Healthcare Representative,No,8621,8,2,3,Travel_Rarely,Female,725008.506122449
Yes,Sales,Sales Executive,No,4577,2,3,2,Travel_Rarely,Female,384916.35918367346
No,Research & Development,Healthcare Representative,No,4553,20,3,2,Travel_Rarely,Female,382898.0081632653
No,Sales,Sales Executive,No,5396,10,4,2,Travel_Rarely,Male,453792.587755102
Yes,Sales,Sales Executive,Yes,6796,4,3,2,Travel_Frequently,Male,571529.7306122449
No,Research & Development,Healthcare Representative,No,7625,9,4,2,Travel_Rarely,Female,641246.9387755102
No,Research & Development,Manufacturing Director,No,7412,9,1,3,Travel_Rarely,Female,623334.0734693877
No,Research & Development,Research Director,No,11159,7,4,3,Travel_Rarely,Female,938449.1265306122
No,Sales,Sales Executive,No,4960,7,1,2,Travel_Rarely,Male,417125.8775510204
No,Sales,Sales Executive,Yes,10475,18,1,3,Travel_Frequently,Male,880926.1224489796
No,Research & Development,Research Director,No,14814,5,3,4,Travel_Rarely,Male,1245827.1673469387
No,Human Resources,Manager,No,19141,21,4,5,Travel_Rarely,Male,1609719.036734694
No,Sales,Sales Executive,No,5405,2,1,2,Travel_Rarely,Male,454549.4693877551
No,Research & Development,Manufacturing Director,No,8793,9,1,3,Travel_Frequently,Male,739473.3551020408
No,Human Resources,Manager,No,19189,22,3,5,Travel_Rarely,Male,1613755.7387755103
No,Sales,Sales Representative,No,3875,2,2,1,Travel_Rarely,Male,325879.5918367347
Yes,Research & Development,Research Scientist,Yes,2216,7,2,1,Travel_Rarely,Female,186361.0775510204
No,Research & Development,Research Director,No,11713,8,1,3,Non-Travel,Female,985039.3959183673
No,Research & Development,Manufacturing Director,Yes,7861,1,3,3,Travel_Rarely,Female,661094.0571428571
No,Research & Development,Laboratory Technician,No,3708,5,3,1,Non-Travel,Male,311835.2326530612
No,Sales,Sales Executive,Yes,13770,22,3,4,Travel_Frequently,Female,1158028.8979591837
No,Sales,Sales Executive,No,5304,8,4,2,Travel_Rarely,Male,446055.5755102041
No,Sales,Sales Representative,No,2642,1,3,1,Travel_Rarely,Male,222186.80816326532
Yes,Research & Development,Research Scientist,Yes,2759,2,3,1,Travel_Frequently,Male,232026.2693877551
No,Sales,Sales Executive,No,6804,2,4,2,Travel_Frequently,Male,572202.5142857142
No,Research & Development,Healthcare Representative,No,6142,5,3,2,Travel_Rarely,Female,516529.66530612245
No,Research & Development,Laboratory Technician,No,2500,4,1,1,Travel_Rarely,Male,210244.89795918367
No,Human Resources,Human Resources,No,6389,8,2,2,Travel_Rarely,Female,537301.8612244898
No,Research & Development,Healthcare Representative,No,11103,10,4,4,Travel_Rarely,Male,933739.6408163265
No,Research & Development,Research Scientist,Yes,2342,4,4,1,Travel_Rarely,Female,196957.42040816328
No,Research & Development,Healthcare Representative,No,6811,7,1,2,Travel_Rarely,Female,572791.2
No,Sales,Sales Representative,No,2297,2,2,1,Travel_Rarely,Male,193173.01224489795
No,Research & Development,Laboratory Technician,No,2450,2,4,2,Travel_Rarely,Male,206040.0
No,Research & Development,Healthcare Representative,No,5093,1,1,2,Non-Travel,Female,428310.90612244897
No,Research & Development,Laboratory Technician,No,5309,10,4,2,Travel_Frequently,Male,446476.0653061225
No,Research & Development,Research Scientist,Yes,3057,1,3,1,Travel_Rarely,Male,257087.4612244898
No,Research & Development,Manufacturing Director,No,5121,0,1,2,Travel_Rarely,Female,430665.64897959185
No,Sales,Manager,No,16856,34,1,4,Travel_Rarely,Male,1417555.2
Yes,Research & Development,Research Scientist,Yes,2686,10,4,1,Travel_Rarely,Male,225887.11836734693
No,Sales,Sales Executive,No,6180,6,4,2,Travel_Rarely,Female,519725.38775510207
No,Sales,Sales Representative,No,6632,8,3,2,Travel_Rarely,Male,557737.6653061225
No,Research & Development,Research Scientist,No,3505,2,3,1,Travel_Rarely,Male,294763.3469387755
Yes,Sales,Sales Executive,Yes,6397,5,3,2,Travel_Frequently,Female,537974.6448979592
No,Sales,Sales Executive,No,6274,6,4,2,Travel_Rarely,Male,527630.5959183674
Yes,Research & Development,Manager,Yes,19859,5,1,5,Travel_Rarely,Male,1670101.3714285714
No,Sales,Sales Executive,No,7587,10,1,3,Non-Travel,Male,638051.2163265307
No,Research & Development,Research Scientist,No,4258,4,4,1,Non-Travel,Male,358089.11020408163
No,Research & Development,Laboratory Technician,No,4364,2,4,1,Travel_Frequently,Female,367003.49387755105
No,Research & Development,Healthcare Representative,No,4335,8,3,2,Travel_Rarely,Female,364564.6530612245
Yes,Sales,Sales Executive,No,5326,4,1,2,Travel_Rarely,Male,447905.7306122449
No,Research & Development,Research Scientist,No,3280,4,4,1,Travel_Rarely,Female,275841.306122449
No,Research & Development,Manufacturing Director,Yes,5485,5,1,2,Travel_Rarely,Female,461277.306122449
No,Sales,Sales Executive,No,4342,4,4,2,Travel_Frequently,Male,365153.3387755102
No,Research & Development,Research Scientist,Yes,2782,5,1,1,Travel_Rarely,Female,233960.5224489796
No,Research & Development,Manufacturing Director,Yes,5980,15,1,2,Travel_Frequently,Female,502905.79591836734
No,Research & Development,Research Scientist,No,4381,6,1,1,Travel_Rarely,Female,368433.1591836735
No,Sales,Sales Representative,No,2572,3,4,1,Travel_Rarely,Female,216299.95102040816
No,Research & Development,Laboratory Technician,No,3833,2,3,1,Travel_Rarely,Male,322347.4775510204
No,Research & Development,Healthcare Representative,No,4244,8,2,2,Travel_Frequently,Female,356911.7387755102
No,Sales,Sales Executive,No,6500,3,1,2,Travel_Rarely,Female,546636.7346938775
No,Research & Development,Manager,No,18430,24,4,5,Travel_Frequently,Male,1549925.387755102
Yes,Research & Development,Laboratory Technician,Yes,1601,0,1,1,Travel_Rarely,Male,134640.83265306122
No,Research & Development,Laboratory Technician,No,2694,1,2,1,Non-Travel,Male,226559.90204081632
No,Research & Development,Laboratory Technician,No,3149,5,3,2,Travel_Rarely,Female,264824.47346938774
No,Research & Development,Research Director,No,17639,4,3,4,Travel_Rarely,Male,1483403.9020408164
Yes,Research & Development,Laboratory Technician,Yes,2319,1,1,1,Travel_Rarely,Female,195023.16734693878
No,Research & Development,Research Director,No,11691,13,3,3,Travel_Rarely,Male,983189.2408163266
Yes,Sales,Sales Executive,No,5324,3,1,2,Travel_Rarely,Female,447737.53469387756
No,Research & Development,Manager,Yes,16752,26,4,4,Travel_Rarely,Female,1408809.012244898
No,Research & Development,Manufacturing Director,No,5228,9,2,2,Travel_Rarely,Female,439664.1306122449
No,Research & Development,Research Scientist,No,2700,10,3,1,Travel_Rarely,Male,227064.48979591837
Yes,Research & Development,Research Director,Yes,19246,31,2,5,Travel_Rarely,Male,1618549.3224489796
No,Research & Development,Research Scientist,No,2506,2,3,1,Travel_Rarely,Female,210749.48571428572
No,Research & Development,Manufacturing Director,Yes,6062,4,4,2,Travel_Rarely,Female,509801.8285714286
